model,image,preprocess_ms,inference_ms,postprocess_ms
YOLO11n-Pose,bike.jpg,1.935,53.778,2.991
YOLO11n-Pose,bike.jpg,2.381,57.203,1.324
YOLO11n-Pose,football.jpg,2.867,50.332,1.066
YOLO11n-Pose,football.jpg,2.876,52.76,1.042
YOLO11n-Pose,hockey.jpg,2.665,52.184,0.621
YOLO11n-Pose,hockey.jpg,2.888,45.125,0.603
YOLO11n-Pose,hockey_2.jpg,2.815,54.657,1.069
YOLO11n-Pose,hockey_2.jpg,2.041,48.569,0.95
YOLO11n-Pose,running_man.jpg,2.424,55.062,1.129
YOLO11n-Pose,running_man.jpg,3.455,44.947,0.49
YOLO11n-Pose,soccer.jpg,2.223,51.102,1.069
YOLO11n-Pose,soccer.jpg,2.265,51.311,1.254
YOLO11n-Pose,soccer_2.jpg,1.949,53.984,1.17
YOLO11n-Pose,soccer_2.jpg,2.136,60.096,1.069
YOLO11n-Pose,volleyball.jpg,2.029,60.08,0.558
YOLO11n-Pose,volleyball.jpg,2.054,65.432,1.084
YOLO11n-Pose,volleyball_2.jpg,2.289,73.64,1.092
YOLO11n-Pose,volleyball_2.jpg,1.66,57.877,1.061
YOLO11n-Pose,volleyball_3.jpg,1.784,48.441,0.603
YOLO11n-Pose,volleyball_3.jpg,2.39,46.04,0.627
YOLO26n-Pose,bike.jpg,2.478,59.338,2.33
YOLO26n-Pose,bike.jpg,1.91,55.436,0.448
YOLO26n-Pose,football.jpg,2.751,52.786,0.25
YOLO26n-Pose,football.jpg,2.679,49.807,0.441
YOLO26n-Pose,hockey.jpg,2.814,57.62,0.446
YOLO26n-Pose,hockey.jpg,2.049,53.742,0.439
YOLO26n-Pose,hockey_2.jpg,2.659,55.192,0.203
YOLO26n-Pose,hockey_2.jpg,3.349,57.581,0.443
YOLO26n-Pose,running_man.jpg,2.55,63.537,0.431
YOLO26n-Pose,running_man.jpg,2.515,59.56,0.433
YOLO26n-Pose,soccer.jpg,2.43,57.522,0.445
YOLO26n-Pose,soccer.jpg,2.254,59.373,0.2
YOLO26n-Pose,soccer_2.jpg,2.993,59.14,0.238
YOLO26n-Pose,soccer_2.jpg,3.017,65.414,0.574
YOLO26n-Pose,volleyball.jpg,1.412,62.638,0.445
YOLO26n-Pose,volleyball.jpg,2.816,59.787,0.443
YOLO26n-Pose,volleyball_2.jpg,2.432,66.31,0.453
YOLO26n-Pose,volleyball_2.jpg,2.689,59.847,0.457
YOLO26n-Pose,volleyball_3.jpg,2.588,56.531,0.434
YOLO26n-Pose,volleyball_3.jpg,2.305,58.502,0.451
YOLO11l-Pose,bike.jpg,2.397,359.557,3.065
YOLO11l-Pose,bike.jpg,2.547,381.044,1.171
YOLO11l-Pose,football.jpg,3.176,412.912,1.958
YOLO11l-Pose,football.jpg,3.147,409.519,1.517
YOLO11l-Pose,hockey.jpg,2.692,382.425,1.13
YOLO11l-Pose,hockey.jpg,2.757,392.017,1.253
YOLO11l-Pose,hockey_2.jpg,3.03,374.997,1.101
YOLO11l-Pose,hockey_2.jpg,3.963,370.845,1.086
YOLO11l-Pose,running_man.jpg,4.238,364.597,1.11
YOLO11l-Pose,running_man.jpg,4.836,381.011,0.669
YOLO11l-Pose,soccer.jpg,2.46,332.594,0.585
YOLO11l-Pose,soccer.jpg,2.404,314.637,1.099
YOLO11l-Pose,soccer_2.jpg,2.948,328.085,0.61
YOLO11l-Pose,soccer_2.jpg,2.943,332.559,1.13
YOLO11l-Pose,volleyball.jpg,2.18,337.345,1.138
YOLO11l-Pose,volleyball.jpg,2.217,334.51,1.104
YOLO11l-Pose,volleyball_2.jpg,1.846,367.898,1.093
YOLO11l-Pose,volleyball_2.jpg,3.396,362.346,1.084
YOLO11l-Pose,volleyball_3.jpg,2.898,318.324,0.649
YOLO11l-Pose,volleyball_3.jpg,2.212,313.202,0.651
YOLO26l-Pose,bike.jpg,2.746,341.772,2.303
YOLO26l-Pose,bike.jpg,2.146,333.593,0.236
YOLO26l-Pose,football.jpg,4.733,329.997,0.444
YOLO26l-Pose,football.jpg,2.983,357.886,0.443
YOLO26l-Pose,hockey.jpg,2.674,363.592,0.522
YOLO26l-Pose,hockey.jpg,2.666,373.161,0.561
YOLO26l-Pose,hockey_2.jpg,3.448,379.638,0.574
YOLO26l-Pose,hockey_2.jpg,2.767,366.763,0.528
YOLO26l-Pose,running_man.jpg,3.656,366.275,0.514
YOLO26l-Pose,running_man.jpg,3.294,367.937,0.529
YOLO26l-Pose,soccer.jpg,3.481,360.743,0.252
YOLO26l-Pose,soccer.jpg,2.404,378.163,0.54
YOLO26l-Pose,soccer_2.jpg,3.836,363.445,0.287
YOLO26l-Pose,soccer_2.jpg,3.032,369.397,0.558
YOLO26l-Pose,volleyball.jpg,3.436,370.883,0.522
YOLO26l-Pose,volleyball.jpg,2.301,373.585,0.544
YOLO26l-Pose,volleyball_2.jpg,3.811,423.273,0.548
YOLO26l-Pose,volleyball_2.jpg,4.021,407.768,0.539
YOLO26l-Pose,volleyball_3.jpg,3.439,363.122,0.241
YOLO26l-Pose,volleyball_3.jpg,3.059,380.805,0.541
