model,image,preprocess_ms,inference_ms,postprocess_ms
YOLO11n-Pose,bike.jpg,3.801,132.114,7.674
YOLO11n-Pose,bike.jpg,7.878,163.073,3.945
YOLO11n-Pose,football.jpg,2.417,135.097,68.398
YOLO11n-Pose,football.jpg,4.906,176.0,2.847
YOLO11n-Pose,hockey.jpg,3.312,166.586,2.847
YOLO11n-Pose,hockey.jpg,3.788,166.951,1.627
YOLO11n-Pose,hockey_2.jpg,3.669,151.84,2.255
YOLO11n-Pose,hockey_2.jpg,4.902,152.942,4.243
YOLO11n-Pose,running_man.jpg,4.797,162.919,2.852
YOLO11n-Pose,running_man.jpg,5.105,165.218,4.47
YOLO11n-Pose,soccer.jpg,5.572,156.347,5.035
YOLO11n-Pose,soccer.jpg,5.04,150.692,2.962
YOLO11n-Pose,soccer_2.jpg,2.815,144.617,4.034
YOLO11n-Pose,soccer_2.jpg,4.461,153.56,2.736
YOLO11n-Pose,volleyball.jpg,5.18,123.788,1.558
YOLO11n-Pose,volleyball.jpg,5.856,139.762,1.78
YOLO11n-Pose,volleyball_2.jpg,10.753,174.62,3.743
YOLO11n-Pose,volleyball_2.jpg,6.752,124.353,2.362
YOLO11n-Pose,volleyball_3.jpg,3.094,120.948,2.45
YOLO11n-Pose,volleyball_3.jpg,3.787,118.46,2.437
YOLO26n-Pose,bike.jpg,5.031,163.004,5.395
YOLO26n-Pose,bike.jpg,5.216,142.742,0.678
YOLO26n-Pose,football.jpg,10.848,193.37,1.212
YOLO26n-Pose,football.jpg,4.616,247.664,0.475
YOLO26n-Pose,hockey.jpg,2.711,150.124,1.037
YOLO26n-Pose,hockey.jpg,7.054,160.725,1.132
YOLO26n-Pose,hockey_2.jpg,4.878,185.884,1.177
YOLO26n-Pose,hockey_2.jpg,3.122,153.914,1.214
YOLO26n-Pose,running_man.jpg,5.171,153.991,0.605
YOLO26n-Pose,running_man.jpg,5.469,158.601,1.117
YOLO26n-Pose,soccer.jpg,5.374,204.308,1.15
YOLO26n-Pose,soccer.jpg,5.514,148.972,1.443
YOLO26n-Pose,soccer_2.jpg,3.016,144.991,0.523
YOLO26n-Pose,soccer_2.jpg,3.115,198.392,1.235
YOLO26n-Pose,volleyball.jpg,4.739,153.495,0.616
YOLO26n-Pose,volleyball.jpg,5.077,199.228,1.224
YOLO26n-Pose,volleyball_2.jpg,5.563,182.541,1.584
YOLO26n-Pose,volleyball_2.jpg,7.719,169.073,1.054
YOLO26n-Pose,volleyball_3.jpg,4.767,190.541,1.763
YOLO26n-Pose,volleyball_3.jpg,7.852,207.403,1.212
YOLO11l-Pose,bike.jpg,4.068,989.987,8.053
YOLO11l-Pose,bike.jpg,5.012,992.6,1.631
YOLO11l-Pose,football.jpg,2.907,1004.35,2.744
YOLO11l-Pose,football.jpg,2.899,978.37,2.908
YOLO11l-Pose,hockey.jpg,3.074,1027.78,3.769
YOLO11l-Pose,hockey.jpg,2.943,1003.333,3.922
YOLO11l-Pose,hockey_2.jpg,4.431,985.816,3.955
YOLO11l-Pose,hockey_2.jpg,4.903,978.286,1.94
YOLO11l-Pose,running_man.jpg,6.265,1013.153,4.179
YOLO11l-Pose,running_man.jpg,4.5,1001.297,2.063
YOLO11l-Pose,soccer.jpg,4.048,996.196,2.714
YOLO11l-Pose,soccer.jpg,4.576,982.173,4.151
YOLO11l-Pose,soccer_2.jpg,2.706,960.248,3.394
YOLO11l-Pose,soccer_2.jpg,2.82,988.591,3.067
YOLO11l-Pose,volleyball.jpg,7.041,981.463,2.71
YOLO11l-Pose,volleyball.jpg,7.353,1109.142,4.889
YOLO11l-Pose,volleyball_2.jpg,11.547,1378.303,3.717
YOLO11l-Pose,volleyball_2.jpg,7.158,1289.042,2.171
YOLO11l-Pose,volleyball_3.jpg,5.385,990.687,2.538
YOLO11l-Pose,volleyball_3.jpg,4.449,994.749,3.194
YOLO26l-Pose,bike.jpg,6.77,1068.531,4.577
YOLO26l-Pose,bike.jpg,4.995,999.45,1.131
YOLO26l-Pose,football.jpg,3.355,1022.331,1.113
YOLO26l-Pose,football.jpg,2.995,965.007,1.089
YOLO26l-Pose,hockey.jpg,2.604,996.482,1.144
YOLO26l-Pose,hockey.jpg,2.634,991.774,1.089
YOLO26l-Pose,hockey_2.jpg,3.992,1033.548,0.607
YOLO26l-Pose,hockey_2.jpg,3.786,1001.122,1.177
YOLO26l-Pose,running_man.jpg,3.198,1041.571,1.152
YOLO26l-Pose,running_man.jpg,3.95,1009.042,1.189
YOLO26l-Pose,soccer.jpg,4.082,1039.57,1.38
YOLO26l-Pose,soccer.jpg,5.399,1051.537,1.136
YOLO26l-Pose,soccer_2.jpg,2.745,1006.518,1.117
YOLO26l-Pose,soccer_2.jpg,6.424,1160.044,1.073
YOLO26l-Pose,volleyball.jpg,5.124,994.568,1.161
YOLO26l-Pose,volleyball.jpg,4.858,1027.535,0.623
YOLO26l-Pose,volleyball_2.jpg,8.617,1126.993,0.506
YOLO26l-Pose,volleyball_2.jpg,9.579,1119.093,1.148
YOLO26l-Pose,volleyball_3.jpg,5.789,1059.371,0.971
YOLO26l-Pose,volleyball_3.jpg,5.321,1035.734,1.574
