model,image,preprocess_ms,inference_ms,postprocess_ms
YOLO11n-Pose,bike.jpg,2.248,41.678,2.881
YOLO11n-Pose,bike.jpg,1.997,40.916,0.844
YOLO11n-Pose,football.jpg,2.397,38.17,0.784
YOLO11n-Pose,football.jpg,2.243,37.017,0.657
YOLO11n-Pose,hockey.jpg,2.581,41.145,0.824
YOLO11n-Pose,hockey.jpg,2.472,43.475,0.818
YOLO11n-Pose,hockey_2.jpg,2.376,40.721,0.819
YOLO11n-Pose,hockey_2.jpg,2.205,38.744,0.733
YOLO11n-Pose,man.jpg,2.243,57.395,0.731
YOLO11n-Pose,man.jpg,2.364,38.36,0.59
YOLO11n-Pose,running_man.jpg,2.135,39.605,0.564
YOLO11n-Pose,running_man.jpg,1.9,39.992,0.757
YOLO11n-Pose,soccer.jpg,2.468,38.811,0.65
YOLO11n-Pose,soccer.jpg,1.807,42.003,0.778
YOLO11n-Pose,soccer_2.jpg,2.719,39.144,0.906
YOLO11n-Pose,soccer_2.jpg,2.289,38.218,0.614
YOLO11n-Pose,volleyball.jpg,1.424,40.715,0.846
YOLO11n-Pose,volleyball.jpg,1.812,42.934,0.831
YOLO11n-Pose,volleyball_2.jpg,2.218,61.752,0.965
YOLO11n-Pose,volleyball_2.jpg,2.457,46.187,0.827
YOLO11n-Pose,volleyball_3.jpg,2.387,42.393,0.862
YOLO11n-Pose,volleyball_3.jpg,2.411,37.317,0.621
YOLO26n-Pose,bike.jpg,2.191,41.068,1.224
YOLO26n-Pose,bike.jpg,2.1,42.05,0.308
YOLO26n-Pose,football.jpg,3.232,45.322,0.35
YOLO26n-Pose,football.jpg,2.321,46.793,0.42
YOLO26n-Pose,hockey.jpg,3.252,43.761,0.265
YOLO26n-Pose,hockey.jpg,2.84,43.739,0.31
YOLO26n-Pose,hockey_2.jpg,3.041,43.293,0.306
YOLO26n-Pose,hockey_2.jpg,3.356,40.645,0.302
YOLO26n-Pose,man.jpg,3.478,50.416,0.328
YOLO26n-Pose,man.jpg,3.868,42.984,0.288
YOLO26n-Pose,running_man.jpg,2.586,41.141,0.351
YOLO26n-Pose,running_man.jpg,2.565,45.506,0.245
YOLO26n-Pose,soccer.jpg,9.936,68.795,0.322
YOLO26n-Pose,soccer.jpg,2.63,45.662,0.361
YOLO26n-Pose,soccer_2.jpg,3.411,44.597,0.348
YOLO26n-Pose,soccer_2.jpg,2.509,44.267,0.316
YOLO26n-Pose,volleyball.jpg,1.392,41.867,0.31
YOLO26n-Pose,volleyball.jpg,1.747,41.303,0.24
YOLO26n-Pose,volleyball_2.jpg,1.482,47.136,0.248
YOLO26n-Pose,volleyball_2.jpg,2.18,50.256,0.252
YOLO26n-Pose,volleyball_3.jpg,2.471,41.965,0.248
YOLO26n-Pose,volleyball_3.jpg,2.587,43.778,0.344
YOLO11l-Pose,bike.jpg,1.695,233.124,2.614
YOLO11l-Pose,bike.jpg,2.172,224.52,0.657
YOLO11l-Pose,football.jpg,2.485,229.489,0.619
YOLO11l-Pose,football.jpg,2.437,235.296,0.629
YOLO11l-Pose,hockey.jpg,2.529,219.077,0.766
YOLO11l-Pose,hockey.jpg,2.284,202.641,0.673
YOLO11l-Pose,hockey_2.jpg,2.571,251.931,1.236
YOLO11l-Pose,hockey_2.jpg,1.921,243.534,0.806
YOLO11l-Pose,man.jpg,2.635,267.51,0.748
YOLO11l-Pose,man.jpg,2.409,244.473,0.62
YOLO11l-Pose,running_man.jpg,2.279,236.662,0.675
YOLO11l-Pose,running_man.jpg,2.524,258.233,0.801
YOLO11l-Pose,soccer.jpg,2.28,254.209,1.115
YOLO11l-Pose,soccer.jpg,2.817,238.426,0.724
YOLO11l-Pose,soccer_2.jpg,3.129,224.692,0.745
YOLO11l-Pose,soccer_2.jpg,3.118,226.52,0.825
YOLO11l-Pose,volleyball.jpg,1.873,232.323,0.774
YOLO11l-Pose,volleyball.jpg,1.534,224.757,0.779
YOLO11l-Pose,volleyball_2.jpg,2.116,259.802,0.599
YOLO11l-Pose,volleyball_2.jpg,1.718,226.948,0.646
YOLO11l-Pose,volleyball_3.jpg,2.062,235.534,0.834
YOLO11l-Pose,volleyball_3.jpg,2.419,230.022,0.98
YOLO26l-Pose,bike.jpg,2.096,250.091,1.676
YOLO26l-Pose,bike.jpg,2.536,255.716,0.483
YOLO26l-Pose,football.jpg,2.821,236.769,0.309
YOLO26l-Pose,football.jpg,2.982,243.158,0.301
YOLO26l-Pose,hockey.jpg,3.42,255.52,0.323
YOLO26l-Pose,hockey.jpg,2.843,247.82,0.319
YOLO26l-Pose,hockey_2.jpg,4.196,249.645,0.248
