model,image,preprocess_ms,inference_ms,postprocess_ms
YOLO11n-Pose,bike.jpg,1.957,10.577,1.754
YOLO11n-Pose,football.jpg,2.004,11.111,1.43
YOLO11n-Pose,hockey.jpg,2.164,11.334,1.419
YOLO11n-Pose,hockey_2.jpg,2.197,10.483,1.474
YOLO11n-Pose,man.jpg,2.298,67.931,1.574
YOLO11n-Pose,running_man.jpg,1.955,11.491,1.433
YOLO11n-Pose,soccer.jpg,1.853,10.56,1.567
YOLO11n-Pose,soccer_2.jpg,1.974,10.513,1.527
YOLO11n-Pose,volleyball.jpg,1.492,9.915,1.869
YOLO11n-Pose,volleyball_2.jpg,1.799,68.239,1.789
YOLO11n-Pose,volleyball_3.jpg,1.899,11.295,1.332
YOLO26n-Pose,bike.jpg,2.115,13.592,0.542
YOLO26n-Pose,football.jpg,2.146,14.673,0.712
YOLO26n-Pose,hockey.jpg,2.37,13.156,0.768
YOLO26n-Pose,hockey_2.jpg,2.272,13.532,0.621
YOLO26n-Pose,man.jpg,2.107,39.066,0.57
YOLO26n-Pose,running_man.jpg,1.942,13.108,0.527
YOLO26n-Pose,soccer.jpg,1.894,19.059,0.62
YOLO26n-Pose,soccer_2.jpg,2.428,13.464,0.694
YOLO26n-Pose,volleyball.jpg,1.964,13.972,0.594
YOLO26n-Pose,volleyball_2.jpg,2.256,41.517,0.543
YOLO26n-Pose,volleyball_3.jpg,2.129,13.957,0.563
YOLO11l-Pose,bike.jpg,1.864,22.81,1.465
YOLO11l-Pose,football.jpg,2.199,18.974,1.497
YOLO11l-Pose,hockey.jpg,1.988,19.638,1.413
YOLO11l-Pose,hockey_2.jpg,2.081,19.047,1.451
YOLO11l-Pose,man.jpg,2.383,59.556,1.496
YOLO11l-Pose,running_man.jpg,1.888,19.722,1.416
YOLO11l-Pose,soccer.jpg,1.956,19.293,1.568
YOLO11l-Pose,soccer_2.jpg,2.134,19.236,1.484
YOLO11l-Pose,volleyball.jpg,1.725,20.364,1.569
YOLO11l-Pose,volleyball_2.jpg,2.288,65.678,1.89
YOLO11l-Pose,volleyball_3.jpg,2.051,20.377,1.347
YOLO26l-Pose,bike.jpg,2.032,19.797,0.594
YOLO26l-Pose,football.jpg,2.08,19.376,1.331
YOLO26l-Pose,hockey.jpg,1.917,18.421,0.575
YOLO26l-Pose,hockey_2.jpg,1.977,19.594,0.57
YOLO26l-Pose,man.jpg,2.213,32.116,0.541
YOLO26l-Pose,running_man.jpg,1.897,19.095,0.768
YOLO26l-Pose,soccer.jpg,1.765,18.937,0.52
YOLO26l-Pose,soccer_2.jpg,2.087,19.633,0.53
YOLO26l-Pose,volleyball.jpg,1.688,20.944,0.608
YOLO26l-Pose,volleyball_2.jpg,1.938,31.553,0.528
YOLO26l-Pose,volleyball_3.jpg,1.914,19.786,0.502
