model,image,preprocess_ms,inference_ms,postprocess_ms
YOLO11n-Pose,bike.jpg,2.05,39.802,2.869
YOLO11n-Pose,bike.jpg,2.57,40.239,0.76
YOLO11n-Pose,football.jpg,3.087,39.232,0.622
YOLO11n-Pose,football.jpg,2.428,39.836,0.606
YOLO11n-Pose,hockey.jpg,2.489,51.605,1.571
YOLO11n-Pose,hockey.jpg,4.578,47.552,0.86
YOLO11n-Pose,hockey_2.jpg,3.508,42.438,0.945
YOLO11n-Pose,hockey_2.jpg,3.389,45.256,0.739
YOLO11n-Pose,running_man.jpg,2.434,42.415,0.757
YOLO11n-Pose,running_man.jpg,2.708,42.705,0.782
YOLO11n-Pose,soccer.jpg,2.537,41.617,0.652
YOLO11n-Pose,soccer.jpg,2.886,37.858,0.84
YOLO11n-Pose,soccer_2.jpg,3.264,40.552,0.774
YOLO11n-Pose,soccer_2.jpg,3.743,38.693,0.959
YOLO11n-Pose,volleyball.jpg,1.706,40.442,0.731
YOLO11n-Pose,volleyball.jpg,2.155,40.975,0.761
YOLO11n-Pose,volleyball_2.jpg,1.978,57.209,0.821
YOLO11n-Pose,volleyball_2.jpg,1.963,42.12,0.635
YOLO11n-Pose,volleyball_3.jpg,2.936,41.18,0.768
YOLO11n-Pose,volleyball_3.jpg,2.757,37.13,0.736
YOLO26n-Pose,bike.jpg,2.787,43.328,1.584
YOLO26n-Pose,bike.jpg,2.029,43.247,0.274
YOLO26n-Pose,football.jpg,2.925,44.076,0.297
YOLO26n-Pose,football.jpg,3.651,42.698,0.296
YOLO26n-Pose,hockey.jpg,2.328,45.069,0.249
YOLO26n-Pose,hockey.jpg,3.556,42.596,0.302
YOLO26n-Pose,hockey_2.jpg,3.396,44.639,0.306
YOLO26n-Pose,hockey_2.jpg,3.28,43.899,0.326
YOLO26n-Pose,running_man.jpg,2.581,44.847,0.306
YOLO26n-Pose,running_man.jpg,2.982,44.663,0.294
YOLO26n-Pose,soccer.jpg,1.875,41.88,0.322
YOLO26n-Pose,soccer.jpg,1.802,45.214,0.31
YOLO26n-Pose,soccer_2.jpg,2.657,45.065,0.332
YOLO26n-Pose,soccer_2.jpg,3.073,45.099,0.311
YOLO26n-Pose,volleyball.jpg,1.934,42.972,0.324
YOLO26n-Pose,volleyball.jpg,1.737,41.521,0.347
YOLO26n-Pose,volleyball_2.jpg,1.458,54.175,0.338
YOLO26n-Pose,volleyball_2.jpg,2.199,45.593,0.293
YOLO26n-Pose,volleyball_3.jpg,2.532,40.575,0.297
YOLO26n-Pose,volleyball_3.jpg,2.872,42.369,0.257
